0406.png	14.843565	0.699691
0120.png	12.906586	0.630802
0132.png	11.992229	0.653499
0318.png	14.250374	0.791856
0073.png	19.219538	0.636967
1741.png	19.109617	0.830148
0259.png	16.949872	0.800913
0383.png	12.669175	0.733310
1975.png	14.315702	0.789427
1868.png	20.657863	0.875404
1878.png	13.536129	0.693818
0004.png	15.255380	0.779980
1953.png	14.807276	0.819457
0283.png	14.032136	0.758887
0099.png	17.747899	0.849396
1059.png	19.026692	0.871006
0213.png	14.335679	0.716531
0223.png	16.507598	0.820472
1887.png	24.217024	0.905866
0116.png	12.980126	0.717735
0285.png	21.518116	0.873492
0034.png	18.094110	0.807617
1818.png	16.959422	0.851051
0295.png	20.191628	0.877793
0356.png	14.267755	0.759456
1743.png	11.468884	0.607929
0039.png	15.463650	0.832345
1958.png	18.587631	0.910017
0170.png	18.672003	0.804219
1742.png	15.714331	0.876390
0362.png	17.819354	0.833282
1881.png	18.145538	0.880826
0077.png	12.355290	0.710654
0082.png	13.561499	0.719768
0369.png	15.652865	0.708576
1971.png	16.637861	0.842465
0195.png	19.310523	0.825571
0272.png	17.223829	0.832884
0147.png	20.826806	0.880272
1882.png	15.381898	0.794372
0189.png	16.205758	0.787555
0072.png	19.833206	0.720220
0160.png	12.562137	0.708107
0245.png	17.870196	0.838786
0200.png	20.629973	0.872145
0045.png	9.270443	0.623212
1938.png	11.204862	0.684369
1022.png	11.369676	0.680274
1984.png	11.486708	0.703419
0270.png	13.283656	0.756667
0127.png	12.664723	0.690110
0022.png	11.721193	0.690262
0261.png	17.068764	0.812069
0205.png	16.669966	0.826683
0110.png	15.528298	0.742339
0179.png	19.865231	0.883165
0145.png	13.811822	0.753940
1040.png	14.370794	0.803073
0208.png	11.808950	0.761053
0176.png	22.742142	0.876832
0249.png	17.992962	0.821397
1734.png	13.582610	0.801169
0117.png	11.905958	0.695359
0096.png	18.174602	0.876813
0107.png	10.903951	0.630065
0123.png	18.149882	0.832639
0097.png	15.344671	0.714482
0308.png	15.407122	0.811196
1007.png	13.696187	0.776773
1933.png	14.000365	0.784008
0165.png	17.985946	0.849721
1011.png	18.293031	0.812082
1716.png	17.321627	0.700889
0260.png	17.001538	0.823524
1839.png	20.755729	0.858019
1840.png	13.951852	0.799583
0167.png	13.533048	0.734277
0298.png	19.950235	0.866190
0280.png	13.928549	0.711889
0163.png	15.105418	0.761861
0150.png	15.394590	0.746022
0162.png	13.415553	0.729098
0385.png	16.225843	0.817519
0269.png	15.005623	0.778119
0338.png	10.831047	0.698087
0382.png	20.791203	0.874039
0174.png	16.377164	0.836062
0395.png	20.051337	0.860576
1896.png	21.802457	0.866111
1726.png	12.115829	0.748872
0029.png	15.810823	0.749262
0407.png	15.261325	0.766856
0152.png	13.333768	0.761933
1730.png	18.473802	0.855662
1853.png	16.456202	0.771350
0057.png	16.089628	0.770232
1018.png	13.804575	0.768691
0137.png	15.151761	0.818187
0279.png	14.688250	0.760905
1008.png	16.806672	0.810992
1790.png	17.295925	0.754653
0166.png	15.334966	0.768327
0051.png	23.878626	0.929829
0281.png	14.657351	0.783938
0106.png	15.574925	0.731168
0153.png	17.576188	0.804638
0350.png	22.345155	0.901274
0086.png	20.498258	0.843382
1848.png	15.749835	0.795760
1744.png	16.736443	0.848321
0101.png	17.526490	0.784073
1928.png	16.721126	0.810900
0155.png	14.652523	0.753077
0194.png	22.354233	0.851248
1784.png	14.184671	0.754737
0344.png	17.479133	0.728950
0056.png	12.905330	0.735265
0133.png	15.980535	0.749123
1749.png	18.273851	0.806642
0062.png	16.070055	0.786937
1889.png	13.883853	0.646963
0334.png	18.231425	0.831916
0276.png	14.044610	0.777291
0109.png	14.763462	0.749787
0113.png	26.727616	0.830860
1765.png	12.190468	0.714420
0158.png	18.584192	0.843276
0233.png	12.621541	0.756814
0266.png	16.464740	0.782004
0009.png	18.083689	0.819700
1824.png	13.288092	0.736650
0354.png	16.917631	0.792864
0143.png	20.555088	0.835516
0359.png	22.237584	0.859649
0413.png	19.375746	0.880525
0294.png	13.310983	0.735848
1930.png	15.135402	0.764097
0366.png	15.870534	0.812953
1857.png	16.035730	0.750131
0102.png	13.266618	0.717282
0079.png	12.602010	0.731537
0064.png	17.044645	0.810254
1962.png	13.706452	0.692406
1005.png	13.737163	0.687620
0303.png	14.553912	0.763579
0357.png	12.468866	0.727667
1736.png	19.999522	0.898826
0386.png	11.195030	0.696618
1977.png	12.140877	0.749346
1855.png	11.589595	0.611397
1949.png	12.856541	0.764432
1869.png	22.622635	0.957605
0198.png	18.069641	0.842143
1970.png	17.662461	0.881441
